work_type,title,byline,release_date,month,day,extra,source_url
birth,Kano Fujihira,"Japanese singer, dancer, model, and actress (born 2004)",2004-08-28,08,28,,https://en.wikipedia.org/wiki/Kano_Fujihira
birth,Quvenzhané Wallis,American actress (born 2003),2003-08-28,08,28,,https://en.wikipedia.org/wiki/Quvenzhan%C3%A9_Wallis
birth,Marissa Bode,American actress (born 2000),2000-08-28,08,28,,https://en.wikipedia.org/wiki/Marissa_Bode
birth,Kim Se-jeong,South Korean singer and actress (born 1996),1996-08-28,08,28,,https://en.wikipedia.org/wiki/Kim_Se-jeong
birth,Max Collins (actress),American-Filipino actress and model,1992-08-28,08,28,,https://en.wikipedia.org/wiki/Max_Collins_(actress)
birth,Gabriela Drăgoi,Romanian artistic gymnast,1992-08-28,08,28,,https://en.wikipedia.org/wiki/Gabriela_Dr%C4%83goi
birth,Andreja Pejić,Australian model and actress (born 1991),1991-08-28,08,28,,https://en.wikipedia.org/wiki/Andreja_Peji%C4%87
birth,Jo Kwon,South Korean singer and actor,1989-08-28,08,28,,https://en.wikipedia.org/wiki/Jo_Kwon
birth,Antony Hämäläinen,Finnish singer (born 1980),1980-08-28,08,28,,https://en.wikipedia.org/wiki/Antony_H%C3%A4m%C3%A4l%C3%A4inen
birth,Shaila Dúrcal,Musical artist,1979-08-28,08,28,,https://en.wikipedia.org/wiki/Shaila_D%C3%BArcal
birth,Takahito Eguchi,Japanese musician (born 1971),1974-08-28,08,28,,https://en.wikipedia.org/wiki/Takahito_Eguchi
birth,Kirby Morrow,Canadian actor (1973–2020),1973-08-28,08,28,,https://en.wikipedia.org/wiki/Kirby_Morrow
birth,Melina Aslanidou,Greek singer,1970-08-28,08,28,,https://en.wikipedia.org/wiki/Melina_Aslanidou
birth,Rick Recht,American rock musician (born 1970),1970-08-28,08,28,,https://en.wikipedia.org/wiki/Rick_Recht
birth,Jack Black,"American actor, comedian, singer, and musician (born 1969)",1969-08-28,08,28,,https://en.wikipedia.org/wiki/Jack_Black
birth,Maria Gheorghiu,Romanian folk singer and songwriter (born 1963),1963-08-28,08,28,,https://en.wikipedia.org/wiki/Maria_Gheorghiu
birth,Craig Anton,American actor and comedian (born 1962),1962-08-28,08,28,,https://en.wikipedia.org/wiki/Craig_Anton
birth,Kim Appleby,Singer,1961-08-28,08,28,,https://en.wikipedia.org/wiki/Kim_Appleby
birth,Deepak Tijori,Indian film director and actor (born 1961),1961-08-28,08,28,,https://en.wikipedia.org/wiki/Deepak_Tijori
