key_mmdd,year,iso_date,fact_domain,fact_category,fact_tags,title,byline,role,work_type,summary_template,source_url,source_system,source_id,country,language,extra,used_on,use_count,added_on
02-22,1079,1079-02-22,people,death,death,John of Fécamp,11th century Italian spiritual writer,,death,"On this day in 1079, John of Fécamp, 11th century Italian spiritual writer, died.",https://en.wikipedia.org/wiki/John_of_F%C3%A9camp,deaths_wiki,,,en,,,0,2026-01-24
02-07,1127,1127-02-07,people,death,death,Ava (poet),Medieval German poet,,death,"On this day in 1127, Ava (poet), Medieval German poet, died.",https://en.wikipedia.org/wiki/Ava_(poet),deaths_wiki,,,en,,,0,2026-01-24
02-19,1275,1275-02-19,people,death,death,Lal Shahbaz Qalandar,Sufi saint and poet (1177–1274),,death,"On this day in 1275, Lal Shahbaz Qalandar, Sufi saint and poet, died.",https://en.wikipedia.org/wiki/Lal_Shahbaz_Qalandar,deaths_wiki,,,en,paren=1177–1274,,0,2026-01-24
01-25,1366,1366-01-25,people,death,death,Henry Suso,German Dominican friar and writer (1295–1366),,death,"On this day in 1366, Henry Suso, German Dominican friar and writer, died.",https://en.wikipedia.org/wiki/Henry_Suso,deaths_wiki,,,en,paren=1295–1366,,0,2026-01-24
02-11,1380,1380-02-11,people,birth,birth,Poggio Bracciolini,"Italian scholar, writer and humanist (1380–1459)",,birth,"On this day in 1380, Poggio Bracciolini, Italian scholar, writer and humanist, was born.",https://en.wikipedia.org/wiki/Poggio_Bracciolini,births_wiki,,,en,paren=1380–1459,,0,2026-01-24
02-14,1404,1404-02-14,people,birth,birth,Leon Battista Alberti,Italian architect and author (1404-1472),,birth,"On this day in 1404, Leon Battista Alberti, Italian architect and author, was born.",https://en.wikipedia.org/wiki/Leon_Battista_Alberti,births_wiki,,,en,paren=1404-1472,,0,2026-01-24
02-09,1441,1441-02-09,people,birth,birth,Ali-Shir Nava'i,Turkic poet and politician (1441–1501),,birth,"On this day in 1441, Ali-Shir Nava'i, Turkic poet and politician, was born.",https://en.wikipedia.org/wiki/Ali-Shir_Nava'i,births_wiki,,,en,paren=1441–1501,,0,2026-01-24
02-06,1453,1453-02-06,people,birth,birth,Girolamo Benivieni,Italian poet,,birth,"On this day in 1453, Girolamo Benivieni, Italian poet, was born.",https://en.wikipedia.org/wiki/Girolamo_Benivieni,births_wiki,,,en,,,0,2026-01-24
02-18,1455,1455-02-18,people,death,death,Fra Angelico,Early Italian Renaissance painter (c. 1395–1444),,death,"On this day in 1455, Fra Angelico, Early Italian Renaissance painter, died.",https://en.wikipedia.org/wiki/Fra_Angelico,deaths_wiki,,,en,paren=c. 1395–1444,,0,2026-01-24
01-25,1459,1459-01-25,people,birth,birth,Paul Hofhaimer,Austrian organist and composer (1459–1537),,birth,"On this day in 1459, Paul Hofhaimer, Austrian organist and composer, was born.",https://en.wikipedia.org/wiki/Paul_Hofhaimer,births_wiki,,,en,paren=1459–1537,,0,2026-01-24
02-01,1459,1459-02-01,people,birth,birth,Conrad Celtes,German Renaissance humanist scholar and poet (1459–1508),,birth,"On this day in 1459, Conrad Celtes, German Renaissance humanist scholar and poet, was born.",https://en.wikipedia.org/wiki/Conrad_Celtes,births_wiki,,,en,paren=1459–1508,,0,2026-01-24
02-13,1469,1469-02-13,people,birth,birth,Elia Levita,"Renaissance Hebrew grammarian, scholar and poet (1469–1549)",,birth,"On this day in 1469, Elia Levita, Renaissance Hebrew grammarian, scholar and poet, was born.",https://en.wikipedia.org/wiki/Elia_Levita,births_wiki,,,en,paren=1469–1549,,0,2026-01-24
01-24,1473,1473-01-24,people,death,death,Conrad Paumann,"German organist, lutenist and composer",,death,"On this day in 1473, Conrad Paumann, German organist, lutenist and composer, died.",https://en.wikipedia.org/wiki/Conrad_Paumann,deaths_wiki,,,en,,,0,2026-01-24
01-29,1475,1475-01-29,people,birth,birth,Giuliano Bugiardini,Italian painter,,birth,"On this day in 1475, Giuliano Bugiardini, Italian painter, was born.",https://en.wikipedia.org/wiki/Giuliano_Bugiardini,births_wiki,,,en,,,0,2026-01-24
02-07,1478,1478-02-07,people,birth,birth,Thomas More,"English politician, author and philosopher (1478–1535)",,birth,"On this day in 1478, Thomas More, English politician, author and philosopher, was born.",https://en.wikipedia.org/wiki/Thomas_More,births_wiki,,,en,paren=1478–1535,,0,2026-01-24
02-06,1497,1497-02-06,people,death,death,Johannes Ockeghem,Franco-Flemish Renaissance composer (c. 1410–1497),,death,"On this day in 1497, Johannes Ockeghem, Franco-Flemish Renaissance composer, died.",https://en.wikipedia.org/wiki/Johannes_Ockeghem,deaths_wiki,,,en,paren=c. 1410–1497,,0,2026-01-24
02-04,1498,1498-02-04,people,death,death,Antonio del Pollaiuolo,"Italian painter, sculptor, and engraver (d. 1498)",,death,"On this day in 1498, Antonio del Pollaiuolo, Italian painter, sculptor, and engraver, died.",https://en.wikipedia.org/wiki/Antonio_del_Pollaiuolo,deaths_wiki,,,en,paren=d. 1498,,0,2026-01-24
02-10,1499,1499-02-10,people,birth,birth,Thomas Platter,Swiss scholar and writer,,birth,"On this day in 1499, Thomas Platter, Swiss scholar and writer, was born.",https://en.wikipedia.org/wiki/Thomas_Platter,births_wiki,,,en,,,0,2026-01-24
02-04,1505,1505-02-04,people,birth,birth,Mikołaj Rej,Polish poet and writer (1505–1569),,birth,"On this day in 1505, Mikołaj Rej, Polish poet and writer, was born.",https://en.wikipedia.org/wiki/Miko%C5%82aj_Rej,births_wiki,,,en,paren=1505–1569,,0,2026-01-24
02-04,1508,1508-02-04,people,death,death,Conrad Celtes,German Renaissance humanist scholar and poet (1459–1508),,death,"On this day in 1508, Conrad Celtes, German Renaissance humanist scholar and poet, died.",https://en.wikipedia.org/wiki/Conrad_Celtes,deaths_wiki,,,en,paren=1459–1508,,0,2026-01-24
