work_type,title,byline,release_date,month,day,extra,source_url
death,Joe Bugner,British-Australian boxer and actor (1950–2025),2025-09-01,09,01,,https://en.wikipedia.org/wiki/Joe_Bugner
death,Jimmy Buffett,American singer-songwriter (1946–2023),2023-09-01,09,01,,https://en.wikipedia.org/wiki/Jimmy_Buffett
death,Barbara Ehrenreich,American writer and journalist (1941–2022),2022-09-01,09,01,,https://en.wikipedia.org/wiki/Barbara_Ehrenreich
death,Erick Morillo,American DJ and producer (1971–2020),2020-09-01,09,01,,https://en.wikipedia.org/wiki/Erick_Morillo
death,Randy Weston,American jazz pianist and composer (1926–2018),2018-09-01,09,01,,https://en.wikipedia.org/wiki/Randy_Weston
death,Dean Jones (actor),American actor (1931–2015),2015-09-01,09,01,,https://en.wikipedia.org/wiki/Dean_Jones_(actor)
death,Sean Bergin,Musical artist,2012-09-01,09,01,,https://en.wikipedia.org/wiki/Sean_Bergin
death,Hal David,American lyricist (1921–2012),2012-09-01,09,01,,https://en.wikipedia.org/wiki/Hal_David
death,Arnaldo Putzu,Italian artist (1927–2012),2012-09-01,09,01,,https://en.wikipedia.org/wiki/Arnaldo_Putzu
death,Jerry Reed,"American country singer, guitarist, songwriter and actor (1937–2008)",2008-09-01,09,01,,https://en.wikipedia.org/wiki/Jerry_Reed
death,György Faludy,Hungarian poet (1910–2006),2006-09-01,09,01,,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Faludy
death,Kyffin Williams,Welsh painter (1918–2006),2006-09-01,09,01,,https://en.wikipedia.org/wiki/Kyffin_Williams
death,R. L. Burnside,American blues musician (1926–2005),2005-09-01,09,01,,https://en.wikipedia.org/wiki/R._L._Burnside
death,Rand Brooks,American actor (1918–2003),2003-09-01,09,01,,https://en.wikipedia.org/wiki/Rand_Brooks
death,Terry Frost,English artist (1915–2003),2003-09-01,09,01,,https://en.wikipedia.org/wiki/Terry_Frost
death,W. Richard Stevens,American writer (1951–1999),1999-09-01,09,01,,https://en.wikipedia.org/wiki/W._Richard_Stevens
death,Józef Krupiński,Polish poet (1930–1998),1998-09-01,09,01,,https://en.wikipedia.org/wiki/J%C3%B3zef_Krupi%C5%84ski
death,Osman F. Seden,Turkish film director and screenwriter (1924–1998),1998-09-01,09,01,,https://en.wikipedia.org/wiki/Osman_F._Seden
death,Otl Aicher,German graphic designer and typographer,1991-09-01,09,01,,https://en.wikipedia.org/wiki/Otl_Aicher
death,Murray Hamilton,American actor (1923–1986),1986-09-01,09,01,,https://en.wikipedia.org/wiki/Murray_Hamilton
death,Ann Harding,American actress (1902–1981),1981-09-01,09,01,,https://en.wikipedia.org/wiki/Ann_Harding
death,Ethel Waters,American vocalist and actress (1896–1977),1977-09-01,09,01,,https://en.wikipedia.org/wiki/Ethel_Waters
death,François Mauriac,French author (1885-1970),1970-09-01,09,01,,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mauriac
death,Siegfried Sassoon,English war poet and writer (1886–1967),1967-09-01,09,01,,https://en.wikipedia.org/wiki/Siegfried_Sassoon
death,Nellie McClung,"Canadian author, activist, suffragist and politician (1873–1951)",1951-09-01,09,01,,https://en.wikipedia.org/wiki/Nellie_McClung
death,François Girardon,French sculptor (1628–1715),1715-09-01,09,01,,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Girardon
death,Cornelis de Man,Dutch painter (1621–1706),1706-09-01,09,01,,https://en.wikipedia.org/wiki/Cornelis_de_Man
death,Jan Brueghel the Younger,Flemish painter (1601–1678),1678-09-01,09,01,,https://en.wikipedia.org/wiki/Jan_Brueghel_the_Younger
death,James Darren,American actor (1936–2024),2024-09-02,09,02,,https://en.wikipedia.org/wiki/James_Darren
death,T. V. Sankaranarayanan,Indian musical artist (1945–2022),2022-09-02,09,02,,https://en.wikipedia.org/wiki/T._V._Sankaranarayanan
death,Sidharth Shukla,Indian actor and model (1980–2021),2021-09-02,09,02,,https://en.wikipedia.org/wiki/Sidharth_Shukla
death,Mikis Theodorakis,Greek composer (1925–2021),2021-09-02,09,02,,https://en.wikipedia.org/wiki/Mikis_Theodorakis
