work_type,title,byline,release_date,month,day,extra,source_url,entry_date,peak_date,peak_position
song,Just a Dream,Jimmy Clanton,1958-08-11,08,11,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-11,1958-08-25,4
song,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1958-08-11,08,11,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-11,1958-08-18,1
song,Little Star,The Elegants,1958-08-18,08,18,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-18,1958-08-25,1
song,Bird Dog,The Everly Brothers,1958-08-25,08,25,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-25,1958-09-15,2
song,Born Too Late,The Poni-Tails,1958-08-25,08,25,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-25,1958-09-15,7
song,Are You Really Mine?,Jimmie Rodgers,1958-09-01,09,01,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-01,1958-09-01,10
song,Ginger Bread,Frankie Avalon,1958-09-01,09,01,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-01,1958-09-01,9
song,Rockin' Robin,Bobby Day,1958-09-08,09,08,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-08,1958-10-13,2
song,Western Movies,The Olympics,1958-09-08,09,08,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-08,1958-09-15,8
song,It's All in the Game,Tommy Edwards,1958-09-15,09,15,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-15,1958-09-29,1
song,Susie Darlin,Robin Luke,1958-09-15,09,15,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-15,1958-10-13,5
song,Tears on My Pillow,Little Anthony and the Imperials,1958-09-15,09,15,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-15,1958-10-13,4
song,Devoted to You,The Everly Brothers,1958-09-22,09,22,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-22,1958-09-22,10
song,Near You,Roger Williams,1958-09-29,09,29,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-29,1958-09-29,10
song,Summertime Blues,Eddie Cochran,1958-09-29,09,29,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-29,1958-09-29,8
song,Tea for Two Cha Cha,Tommy Dorsey,1958-10-06,10,06,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-06,1958-11-03,7
song,The End,Earl Grant,1958-10-13,10,13,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-13,1958-10-13,7
song,Chantilly Lace,The Big Bopper,1958-10-20,10,20,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-11-03,6
song,It's Only Make Believe,Conway Twitty,1958-10-20,10,20,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-11-10,1
song,Tom Dooley,The Kingston Trio,1958-10-20,10,20,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-11-17,1
song,"Topsy, Part 2",Cozy Cole,1958-10-20,10,20,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-10-20,3
song,I Got a Feeling,Ricky Nelson,1958-11-10,11,10,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-10,1958-11-10,10
song,To Know Him Is to Love Him,The Teddy Bears,1958-11-10,11,10,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-10,1958-12-01,1
song,Beep Beep,The Playmates,1958-11-17,11,17,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-17,1958-12-01,4
song,Lonesome Town,Ricky Nelson,1958-11-17,11,17,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-17,1958-12-01,7
song,Queen of the Hop,Bobby Darin,1958-11-17,11,17,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-17,1958-11-17,9
song,I Got Stung,Elvis Presley,1958-11-24,11,24,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-24,1958-11-24,8
song,One Night,Elvis Presley,1958-11-24,11,24,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-11-24,1958-12-15,4
song,Problems,The Everly Brothers,1958-12-01,12,01,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-01,1958-12-15,2
song,Smoke Gets in Your Eyes,The Platters,1958-12-15,12,15,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-15,1958-01-19,1
song,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks with David Seville,1958-12-15,12,15,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-15,1958-12-22,1
song,A Lover's Question,Clyde McPhatter,1958-12-22,12,22,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-22,1958-01-19,6
song,Whole Lotta Lovin,Fats Domino,1958-12-29,12,29,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-29,1958-01-12,6
song,Fever,Peggy Lee,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-25,8
song,Hard Headed Woman,Elvis Presley,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,4
song,My True Love,Jack Scott,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-18,3
song,Patricia,Pérez Prado,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,2
song,Poor Little Fool,Ricky Nelson,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,1
song,Rebel 'Rouser,Duane Eddy,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,6
song,Splish Splash,Bobby Darin,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,3
song,When,Kalin Twins,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,5
song,Willie and the Hand Jive,The Johnny Otis Show,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,9
song,Yakety Yak,The Coasters,1958-12-31,12,31,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-12-31,1958-08-04,7
song,Gotta Travel On,Billy Grammer,1959-01-05,01,05,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,1959-01-05,1959-01-12,4
song,My Happiness,Connie Francis,1959-01-05,01,05,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,1959-01-05,1959-01-19,2
song,16 Candles,The Crests,1959-01-19,01,19,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,1959-01-19,1959-02-09,2
