work_type,title,byline,release_date,month,day,extra,source_url,entry_date,peak_date,peak_position,date_source,added_on
song,Just a Dream,Jimmy Clanton,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-11,1958-08-25,4.0,,2025-11-20
song,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1958-02-01,2.0,1.0,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-11,1958-08-18,1.0,wikitext:released,2025-11-20
song,Little Star,The Elegants,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-18,1958-08-25,1.0,,2025-11-20
song,Bird Dog,The Everly Brothers,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-25,1958-09-15,2.0,,2025-11-20
song,Born Too Late,The Poni-Tails,1986-10,10,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-08-25,1958-09-15,7.0,wikitext:released,2025-11-20
song,Are You Really Mine?,Jimmie Rodgers,1958,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-01,1958-09-01,10.0,wikidata:P577,2025-11-20
song,Ginger Bread,Frankie Avalon,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-01,1958-09-01,9.0,,2025-11-20
song,Rockin' Robin,Bobby Day,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-08,1958-10-13,2.0,,2025-11-20
song,Western Movies,The Olympics,1958-06,06,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-08,1958-09-15,8.0,wikitext:released,2025-11-20
song,It's All in the Game,Tommy Edwards,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-15,1958-09-29,1.0,,2025-11-20
song,Susie Darlin,Robin Luke,1958,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-15,1958-10-13,5.0,wikidata:P577,2025-11-20
song,Tears on My Pillow,Little Anthony and the Imperials,1958-08,08,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-15,1958-10-13,4.0,wikitext:released,2025-11-20
song,Devoted to You,The Everly Brothers,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-22,1958-09-22,10.0,,2025-11-20
song,Near You,Roger Williams,1947-07-25,7.0,25.0,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-29,1958-09-29,10.0,wikidata:P577,2025-11-20
song,Summertime Blues,Eddie Cochran,1958-07-21,7.0,21.0,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-09-29,1958-09-29,8.0,wikitext:released,2025-11-20
song,Tea for Two Cha Cha,Tommy Dorsey,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-06,1958-11-03,7.0,,2025-11-20
song,The End,Earl Grant,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-13,1958-10-13,7.0,,2025-11-20
song,Chantilly Lace,The Big Bopper,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-11-03,6.0,,2025-11-20
song,It's Only Make Believe,Conway Twitty,1958,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-11-10,1.0,wikidata:P577,2025-11-20
song,Tom Dooley,The Kingston Trio,,,,US Top 10,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1958,1958-10-20,1958-11-17,1.0,,2025-11-20
